#{"t_start": 1703343296.9343858, "env_id": "None"}
r,l,t
-736.111111,1001,0.81382
-736.111111,1001,1.643105
138.888889,1001,3.619454
13.888889,1001,4.387495
194.444444,1001,6.633975
194.444444,1001,7.516839
250.0,1001,9.784012
222.222222,1001,10.643142
13.888889,1001,13.423804
250.0,1001,14.451169
180.555556,1001,17.649581
250.0,1001,19.136374
222.222222,1001,22.495065
222.222222,1001,23.519234
250.0,1001,26.315557
194.444444,1001,27.433935
250.0,1001,29.873696
222.222222,1001,30.872663
250.0,1001,33.196337
222.222222,1001,34.241675
250.0,1001,36.874056
180.555556,1001,38.377602
250.0,1001,40.838877
250.0,1001,41.834912
250.0,1001,44.190558
250.0,1001,45.2665
222.222222,1001,47.579833
250.0,1001,48.454843
250.0,1001,50.631675
250.0,1001,51.466454
250.0,1001,53.656899
180.555556,1001,54.52746
250.0,1001,56.691926
180.555556,1001,57.551975
180.555556,1001,59.713488
250.0,1001,60.573966
250.0,1001,62.760976
250.0,1001,63.628216
222.222222,1001,66.071097
180.555556,1001,66.903571
250.0,1001,69.008972
250.0,1001,69.996741
250.0,1001,72.53739
222.222222,1001,73.436138
250.0,1001,74.515841
250.0,1001,76.743419
180.555556,1001,77.705829
250.0,1001,80.47878
222.222222,1001,81.68436
250.0,1001,85.351051
250.0,1001,86.868134
250.0,1001,90.516033
180.555556,1001,92.24378
222.222222,1001,95.681504
180.555556,1001,97.179047
250.0,1001,100.990832
180.555556,1001,102.608466
180.555556,1001,106.58909
250.0,1001,108.374365
250.0,1001,112.506393
250.0,1001,114.258243
250.0,1001,117.055129
250.0,1001,118.126481
250.0,1001,120.778334
250.0,1001,121.646519
180.555556,1001,124.474234
250.0,1001,125.398705
250.0,1001,128.060396
250.0,1001,128.920625
250.0,1001,131.360084
250.0,1001,132.217006
250.0,1001,134.757032
250.0,1001,135.651659
250.0,1001,138.152306
250.0,1001,139.01228
250.0,1001,141.475217
250.0,1001,142.367217
250.0,1001,145.088157
250.0,1001,146.098932
250.0,1001,148.60908
250.0,1001,149.614946
250.0,1001,152.218435
250.0,1001,153.200763
250.0,1001,156.338741
250.0,1001,157.782031
250.0,1001,160.899677
250.0,1001,162.30747
250.0,1001,165.526904
250.0,1001,166.876517
250.0,1001,168.209997
250.0,1001,171.393266
250.0,1001,172.704335
250.0,1001,175.911464
250.0,1001,177.368136
250.0,1001,180.743213
250.0,1001,182.078441
250.0,1001,185.317201
250.0,1001,186.532558
250.0,1001,188.930562
250.0,1001,189.723221
